Year,Balancing_Cost_JPY_kWh,FIP_Premium_JPY_kWh,Sell_Price_JPY_kWh,Generation_kWh,Revenue_JPY
1,2.0,18.91131040621951,32.91131040621951,2182388.74,71825273.2491783
2,1.8,18.71131040621951,32.71131040621951,2173659.1850400004,71103240.31917359
3,1.6,18.51131040621951,32.51131040621951,2164964.54829984,70385834.44823691
4,1.4,18.31131040621951,32.311310406219505,2156304.690106641,69673030.17242263
5,1.3,18.21131040621951,32.21131040621951,2147679.4713462144,69179570.10459833
6,1.3,18.21131040621951,32.21131040621951,2139088.7534608296,68902851.82417995
7,1.3,18.21131040621951,32.21131040621951,2130532.3984469865,68627240.41688323
8,1.3,18.21131040621951,32.21131040621951,2122010.2688531983,68352731.45521569
9,1.3,18.21131040621951,32.21131040621951,2113522.2277777856,68079320.52939484
10,1.3,18.21131040621951,32.21131040621951,2105068.1388666746,67807003.24727726
11,0.3,17.21131040621951,31.21131040621951,2096647.8663112079,65439127.36797693
12,0.3,17.21131040621951,15.43427586718496,2088261.274845963,32230800.598731946
13,0.3,17.21131040621951,14.0,2079908.2297465792,29118715.216452107
14,0.3,17.21131040621951,14.0,2071588.596827593,29002240.3555863
15,0.3,17.21131040621951,14.0,2063302.2424402826,28886231.394163955
16,0.3,17.21131040621951,14.0,2055049.0334705214,28770686.4685873
17,0.3,17.21131040621951,14.0,2046828.8373366394,28655603.722712953
18,0.3,17.21131040621951,14.0,2038641.521987293,28540981.3078221
19,0.3,17.21131040621951,14.0,2030486.9558993438,28426817.382590815
20,0.3,17.21131040621951,14.0,2022365.0080757465,28313110.113060452
